LeadId,Age,Gender,Income,PolicyName
88,35,Female,900000,Policy_13
210,49,Male,2600000,Policy_5
96,35,Male,2700000,Policy_5
138,39,Female,900000,Policy_12
205,48,Male,600000,Policy_1
136,39,Male,2600000,Policy_4
63,32,Male,7600000,Policy_8
186,45,Male,700000,Policy_2
247,59,Male,700000,Policy_2
92,35,Female,2600000,Policy_14
39,29,Female,1100000,Policy_12
147,40,Male,800000,Policy_2
121,37,Male,3400000,Policy_6
89,35,Female,1100000,Policy_13
225,51,Male,700000,Policy_3
124,37,Male,200000,Policy_1
13,28,Male,2700000,Policy_5
30,24,Male,800000,Policy_1
40,29,Male,800000,Policy_2
122,37,Female,1100000,Policy_13
178,44,Female,3400000,Policy_6
157,40,Male,1100000,Policy_4
73,33,Male,800000,Policy_2
108,36,Female,1300000,Policy_12
133,39,Male,1100000,Policy_4
177,44,Male,600000,Policy_1
216,50,Male,600000,Policy_1
35,27,Male,2700000,Policy_4
101,36,Male,800000,Policy_2
102,36,Female,8000000,Policy_8
118,37,Female,2700000,Policy_13
57,32,Male,2700000,Policy_4
7,27,Male,800000,Policy_2
189,45,Female,3400000,Policy_7
175,43,Male,2700000,Policy_6
134,39,Male,800000,Policy_2
145,40,Male,800000,Policy_3
191,45,Male,800000,Policy_3
51,31,Male,800000,Policy_3
139,39,Female,1400000,Policy_13
149,40,Female,2600000,Policy_14
170,42,Male,800000,Policy_3
74,33,Male,800000,Policy_1
152,40,Female,1400000,Policy_13
140,39,Male,2700000,Policy_4
84,34,Male,800000,Policy_3
155,40,Male,600000,Policy_2
5,25,Male,3400000,Policy_5
230,53,Male,800000,Policy_3
242,57,Female,200000,Policy_2
159,41,Female,8200000,Policy_9
27,27,Male,3400000,Policy_6
161,41,Male,500000,Policy_1
188,45,Female,600000,Policy_2
231,53,Male,800000,Policy_3
241,57,Male,800000,Policy_4
11,28,Male,900000,Policy_3
55,32,Male,900000,Policy_3
153,40,Male,2700000,Policy_6
228,52,Female,3400000,Policy_6
222,51,Female,500000,Policy_1
66,32,Male,900000,Policy_3
197,46,Male,2700000,Policy_6
168,42,Female,2100000,Policy_6
77,33,Male,900000,Policy_3
90,35,Male,800000,Policy_3
60,32,Male,3400000,Policy_5
94,35,Male,900000,Policy_3
116,37,Male,900000,Policy_3
239,57,Female,3400000,Policy_7
238,57,Female,600000,Policy_2
127,38,Male,900000,Policy_3
181,44,Male,200000,Policy_1
182,44,Female,2600000,Policy_7
151,40,Male,900000,Policy_1
91,35,Male,800000,Policy_3
123,37,Male,800000,Policy_3
135,39,Male,800000,Policy_4
201,47,Male,1100000,Policy_4
158,41,Female,800000,Policy_2
172,42,Female,5400000,Policy_7
165,41,Male,1300000,Policy_5
180,44,Male,800000,Policy_3
192,45,Female,800000,Policy_4
193,46,Male,2600000,Policy_7
194,46,Male,500000,Policy_1
117,37,Male,1400000,Policy_4
110,36,Male,3400000,Policy_5
214,50,Male,2700000,Policy_7
199,47,Female,600000,Policy_1
249,60,Female,600000,Policy_2
167,42,Male,3400000,Policy_7
105,36,Male,900000,Policy_3
202,47,Female,800000,Policy_4
173,43,Male,900000,Policy_1
3,25,Male,1300000,Policy_5
195,46,Male,900000,Policy_3
143,40,Male,3400000,Policy_5
25,20,Male,1300000,Policy_5
169,42,Female,800000,Policy_3
209,48,Female,800000,Policy_4
156,40,Male,3400000,Policy_6
211,49,Male,500000,Policy_2
162,41,Female,900000,Policy_4
206,48,Male,3400000,Policy_6
200,47,Male,3400000,Policy_6
184,44,Male,900000,Policy_5
6,26,Male,1100000,Policy_3
217,50,Male,3400000,Policy_7
208,48,Female,800000,Policy_3
219,51,Female,800000,Policy_4
76,33,Male,9400000,Policy_9
221,51,Male,2600000,Policy_7
218,50,Female,1100000,Policy_5
223,51,Male,900000,Policy_5
61,32,Male,1100000,Policy_3
113,36,Male,800000,Policy_3
47,31,Male,1300000,Policy_4
100,35,Male,1100000,Policy_3
32,30,Female,5700000,Policy_15
72,33,Female,2100000,Policy_5
144,40,Male,1100000,Policy_5
190,45,Male,1100000,Policy_4
232,53,Female,2200000,Policy_7
220,51,Male,14500000,Policy_9
234,54,Male,900000,Policy_5
174,43,Male,1400000,Policy_5
236,55,Male,2700000,Policy_6
130,38,Male,1300000,Policy_3
212,49,Female,900000,Policy_4
19,29,Female,7200000,Policy_15
235,54,Male,1400000,Policy_4
187,45,Male,1300000,Policy_5
179,44,Female,1100000,Policy_4
243,58,Male,2600000,Policy_6
204,47,Male,1300000,Policy_5
245,58,Male,900000,Policy_5
240,57,Male,1100000,Policy_4
226,51,Male,1300000,Policy_5
248,60,Female,1300000,Policy_7
229,52,Female,2100000,Policy_4
250,60,Male,3400000,Policy_6
